timestamp,http_method,endpoint_path,status_code,response_time,ip_address,user_agent,request_headers,request_body,response_size,error_message,correlation_id,is_anomalous
2025-03-22T19:54:53.288359,DELETE,/api/notifications,200,0.407,95.41.2.144,python-requests/2.25.1,"{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""PostmanRuntime/7.28.0"", ""Authorization"": ""Bearer dddb9f19c3de484eb778338d8f79c5cf""}","{""params"": {""query"": ""Fly police past personal toward.""}}",5017,,334b5980-392c-4e94-8b69-013672648f0f,False
2025-03-27T11:59:16.254358,POST,/api/auth/logout,201,0.237,250.241.79.240,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"", ""Authorization"": ""Bearer 1ea0e920285741f2bb75515846f4aff8""}","{""params"": {""query"": ""Art interesting production service adult hold.""}}",4464,,fb413ec0-aea3-4583-ad12-9e9448644c97,False
2025-04-13T08:59:35.271358,GET,/api/analytics,200,0.494,81.4.90.22,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""python-requests/2.25.1"", ""Authorization"": ""Bearer d555563e11c34447b09c7bdeb71c0221""}","{""params"": {""query"": ""Lawyer agent hard surface choice seem miss.""}}",8162,,6e8b3473-27a4-4a97-9755-e2a76909b001,False
2025-04-08T21:18:46.284358,PATCH,/api/shipping,200,0.233,143.2.108.44,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"", ""Authorization"": ""Bearer 99ead2862a8348b9ae22889102ddb591""}","{""params"": {""query"": ""Heart business pull continue describe report.""}}",1384,,311a6659-5c28-4b45-856d-2fa02d65f7df,False
2025-04-16T14:13:01.252360,POST,/api/shipping,204,0.216,135.234.127.245,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""PostmanRuntime/7.28.0"", ""Authorization"": ""Bearer 108bfda08b5a45fdbf99f0396e2942f3""}","{""params"": {""query"": ""Music catch past teacher coach act choice.""}}",5046,,5280f2c6-f4b5-422d-a4b2-9326537e6475,False
2025-03-20T23:28:46.254358,GET,/api/products,201,0.439,13.224.81.166,"Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36""}","{""category"": ""electronics"", ""price_range"": ""44-524""}",3897,,27bc278b-590e-409c-96fa-b3b8ef3e0e8c,False
2025-04-14T09:31:16.033359,GET,/api/orders,200,0.259,4.107.150.249,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"", ""Authorization"": ""Bearer a2a9c076343d46f7a50286c1b9a0f5f5""}","{""product_id"": ""880e7c56154345fbb6fa9853e96bd2c9"", ""quantity"": 8, ""shipping_address"": ""6219 Shelton Pike\nMichaelfort, NJ 34488""}",4302,,49c1282c-8ef7-4ec8-8435-7b4ad0bfd27f,False
2025-03-22T14:02:56.285359,DELETE,/api/payments,201,0.055,34.228.150.40,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36","{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"", ""Authorization"": ""Bearer 187618bdb507444484b65ae8a59fef7f""}","{""order_id"": ""69fef6361a00411981718ec07ee9286c"", ""payment_method"": ""bank_transfer"", ""amount"": 817.23}",7458,,9ad1626e-a7e4-48be-9ad7-80a7d6f4698c,False
2025-03-24T23:31:15.540360,POST,/api/auth/login,200,0.238,77.215.203.92,PostmanRuntime/7.28.0,"{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"", ""Authorization"": ""Bearer af76a4e3de4f4106bc7c9111d63fe03f""}","{""username"": ""nicholas30"", ""password"": ""password123""}",5266,,fc0c2056-f8c4-4592-bc55-3970e81bc785,False
2025-03-30T06:08:31.252360,PUT,/api/notifications,200,0.104,80.199.192.6,PostmanRuntime/7.28.0,"{""Accept"": ""application/json"", ""Content-Type"": ""application/json"", ""User-Agent"": ""Mozilla/5.0 (iPad; CPU OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0 Mobile/15E148 Safari/604.1"", ""Authorization"": ""Bearer 6135722dc9b34eeca07b3f880d81a792""}","{""params"": {""query"": ""Partner significant hospital ever great.""}}",2089,,7a4fb895-1be7-4819-aa63-55835821bfae,False
